FoodGroup,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
Animal source,105,4.86,1.41,18.6,2.9,0,131,0.045,0.52,0.7,0.06,10,0.105,0.18,0.041,152,0.08,0.07,16,0.065,133,3.1,0.82
Animal source,265,20,20,1.37,0,0,160,0.049,2.26,0,0.17,10,0.114,0.486,0.029,1109,0.238,0.9,38,0.085,729,17.7,3.87
Animal source,251,0.69,13.5,35.07,33.04,1.1,0,0.004,0,0,1.58,1,0.091,0.024,0.004,6,0.142,0.59,19,0.142,28,0.7,0.25
Animal source,482,0.68,21.47,75.42,58.01,1.2,0,0.004,0,0,0.41,1,0.084,0.027,0.004,5,0.135,0.63,17,0.14,28,1.3,0.23
Animal source,274,24.7,17.6,3.5,0.55,0,141,0.073,1.46,0,0.15,10,0.156,0.321,0.019,756,0.026,0.52,28,0.01,496,14.5,3.23
Animal source,282,24.69,19.4,3.41,0.56,0,155,0.084,1.66,0,0.17,20,0.06,0.3,0.03,1146,0.021,0.13,35,0,583,15.5,4.3
Animal source,555,35.6,34.5,23.97,2.46,0,117,0.207,2.9,0,2.04,138,0.267,1.277,0.19,171,0.149,3.23,11,0.056,451,118,2.76
Animal source,61,3.15,3.27,4.78,5.05,0,46,0.036,0.45,0,0.07,5,0.089,0.169,0.046,113,0.025,0.03,10,0.004,84,3.7,0.37
Animal source,496,26.32,26.71,38.42,38.42,0,258,0.302,3.25,8.6,0.58,37,0.646,1.205,0.283,912,0.08,0.47,85,0.04,776,16.3,3.34
Animal source,135,6.81,7.56,10.04,10.04,0,65,0.05,0.16,1.9,0.16,8,0.194,0.316,0.047,261,0.016,0.19,24,0.006,203,2.3,0.77
Animal source,240,17.6,14.1,10.6,8.02,0,250,0.08,1.11,0,0.27,18,0.18,0.48,0.07,529,0.03,0.2,33,0,829,12.4,2.36
Animal source,99,3.98,1.15,18.64,18.64,0,11,0.037,0.43,0.6,0.02,9,0.086,0.162,0.034,138,0.079,0.06,13,0.064,109,2.8,0.67
Animal source,102,4.37,1.08,19.05,19.05,0,10,0.04,0.47,0.7,0.02,9,0.095,0.178,0.037,152,0.08,0.07,15,0.065,119,3.1,0.74
Animal source,95,4.4,0.2,19,19,0,2,0.04,0.47,0.7,0.06,9,0.1,0.18,0.04,152,0.011,0.07,15,0.035,119,6,0.74
Animal source,105,4.86,1.41,18.6,2.9,0,131,0.045,0.52,0.7,0.06,10,0.105,0.18,0.041,152,0.08,0.07,16,0.065,133,3.1,0.82
Animal source,85,4.93,1.25,13.8,13.8,0,12,0.045,0.53,0.8,0.02,11,0.107,0.201,0.042,171,0.013,0.07,16,0.004,135,4.9,0.83
Animal source,43,3.86,0.18,7.5,7.5,0,2,0.037,0.43,1.1,0,8,0.086,0.162,0.034,143,0.079,0.12,13,0,109,3.1,0.67
Animal source,112,3.53,0,23.53,14.97,1.2,0,0.047,0.5,0,0,12,0.223,0.215,0.047,88,0.209,0.42,40,0,166,7,1.13
Animal source,411,45.71,17.14,18.5,5.71,7.1,750,1,3,30,7.07,340,10,0.857,0.714,500,1,8.57,200,0,643,33.8,7.14
Animal source,396,50,12,22,4,2,1050,1.4,4.2,42,9.45,476,14,1.2,1,1200,1.4,12,280,0,700,33.8,10
Animal source,315,6.84,7.35,55.35,49.74,0,74,0.016,0.31,2.6,0.2,11,0.21,0.405,0.016,251,0.004,0.17,22,0.002,193,2.7,0.79
Animal source,48,10,0,2,2,0,11,0.133,0.34,0.5,1.59,16,0.14,0.386,0.12,73,0.022,1.98,15,0.006,72,41.3,0.98
Animal source,325,24.51,24.35,2.04,0.55,0,226,0.091,1.7,0,0.49,0,0.083,0.23,0.038,661,0.027,0.18,27,0.018,475,22.4,3.28
Animal source,299,18.09,23.82,2.98,2.32,0,224,0.076,1.68,0,0.37,7,0.027,0.173,0.042,566,0.033,0.2,24,0.014,385,19.3,2.58
Animal source,310,20.38,24.31,2.53,1.76,0,157,0.086,1.75,0,0.47,0,0.035,0.23,0.048,690,0.025,0.18,29,0.021,467,13.8,3.06
Animal source,62,3.21,3.31,4.88,4.88,0,47,0.036,0.46,0,0.07,5,0.09,0.172,0.047,115,0.025,0.03,10,0.004,85,3.7,0.38
Animal source,86,4.93,1.25,13.8,5.43,0,12,0.045,0.53,0.8,0.02,11,0.107,0.201,0.042,171,0.013,0.07,16,0.004,135,4.9,0.83
Animal source,104,4.4,0.8,19.7,12.61,2,2,0.04,0.49,0.7,0.08,12,0.2,0.18,0.04,159,0.203,0.04,40,0,129,2.8,0.49
Animal source,222,4.1,13,22.2,21.16,0.7,162,0.048,0.5,0.8,0.61,9,0.095,0.182,0.049,131,0.03,0.21,12,0.005,116,3,0.52
Animal source,331,4.1,24.1,24.5,18.3,0.8,19,0.043,0.49,0,0.42,7,0.175,0.261,0.062,119,0.076,0.29,28,0.078,173,2.4,0.82
Animal source,237,4.29,8.57,37.14,18.57,0,86,0.028,0.05,0,0.4,53,1.566,0.146,0.111,86,0.254,0.26,29,0.381,72,3.1,0.6
Animal source,240,3.7,7.4,39.6,21.3,1.2,37,0.028,0.01,0,0.4,5,0.237,0.03,0.03,73,0.106,1.1,16,0.225,54,3.1,0.32
Animal source,354,5.21,21.88,34.38,25,1,32,0.046,0.36,0,0.18,35,0.829,0.252,0.108,63,0.128,0,29,0.194,108,2.6,0.86
Animal source,186,4.29,3.04,39.64,17.86,0,96,0.01,0.02,0,0.14,19,0.555,0.052,0.039,30,0.09,0.09,10,0,26,1.1,0.21
Animal source,200,5.71,2.86,42.86,6.58,7.1,129,0.01,0.02,0,0.14,19,0.555,0.052,0.039,86,0.09,0,10,0,26,1.1,0.21
Animal source,129,4.41,0,27.94,8.82,7.4,133,0.029,0.52,0,0,4,0.074,0.122,0.029,147,0.03,0,9,0,75,1.9,0.31
Animal source,147,4.41,1.47,33.09,22.06,6.6,71,0.023,0.14,0.9,0.2,4,0.126,0.129,0.023,184,0.103,0.53,20,0,83,2.2,0.43
Animal source,88,4.4,3.08,11.88,2.64,2.2,165,0.22,0.66,26.4,1.46,75,2.201,0.187,0.165,110,0.22,1.98,44,0.097,110,7.7,1.65
Animal source,358,23.54,28.51,1.75,1.23,0,174,0.061,1.23,0,0.25,13,0.114,0.318,0.023,659,0.025,0.59,25,0.022,438,15,3.01
Animal source,308,17.62,22.49,8.7,6.47,0,257,0.124,1.49,0,1.13,18,0.17,0.387,0.04,1652,0.037,1.11,33,0.057,948,17.3,2.21
Animal source,371,18.13,31.79,3.7,2.26,0,250,0.054,1.5,0,0.8,8,0.076,0.234,0.015,1045,0.046,0.63,26,0.041,641,20.2,2.49
Animal source,330,16.86,25.63,8.56,5.59,0,240,0.102,1.33,0,0.63,7,0.155,0.36,0.035,682,0.034,0.26,27,0.025,438,19.6,2.31
Animal source,138,10.97,10.07,0.83,0.07,0,149,0.226,1.21,0,0.8,69,0.077,0.443,0.06,55,0.064,1.71,9,0.033,186,30.4,1.3
Animal source,59,10.19,0.39,3.6,3.24,0,1,0.063,0.75,0,0.01,7,0.208,0.278,0.023,110,0.017,0.07,11,0.009,135,9.7,0.52
Animal source,362,84.63,0.48,4.72,0,0,0,0.037,0.19,0,0,0,0.773,3.71,0,104,0.128,0.23,82,0,104,192,0.13
Animal source,176,13.41,8.88,10.71,7.06,0,185,0.099,1.17,0,0.46,0,0.153,0.442,0.038,557,0.032,0.36,27,0.026,931,15.5,1.81
Animal source,309,27.35,20.41,4.06,0.26,0,145,0.084,1.41,0,0.48,20,0.145,0.397,0.021,761,0.043,0.12,27,0.031,520,35.8,4.44
Animal source,141,3.36,3.69,23.15,19.46,0,91,0.038,0.26,0,0.08,26,0.186,0.124,0.033,134,0.217,0.6,36,0.212,113,2.3,0.67
Animal source,358,2.11,25.26,37.12,21.05,1.1,35,0.106,0.09,0,2.25,3,0.548,0.069,0.043,63,0.031,0,11,0,57,4,0.32
Animal source,157,32.14,0,7.14,0,0,60,0.045,0.49,0,0.06,11,0.051,0.221,0.012,893,0.021,0,16,0,484,14.5,1.82
Animal source,127,28.4,0,3.4,1.33,0,40,0.08,1.68,0,0.07,6,0.09,0.36,0.02,961,0.027,0.17,36,0,605,12.7,3.9
Animal source,366,20,30,3.97,0,0,229,0.049,2.26,0,0.25,10,0.114,0.486,0.029,800,0.238,0,38,0,729,17.7,3.87
Animal source,410,24.25,33.82,2.13,0.27,0,263,0.075,0.88,0,0.78,27,0.039,0.434,0.027,711,0.035,0.16,27,0.024,460,28.3,3.74
Animal source,304,23.63,19.72,8.06,2.24,0,254,0.111,1.33,0,0.49,27,0.151,0.367,0.029,716,0.034,0.23,29,0.041,537,26.8,3.61
Animal source,71,9.07,0.22,8.09,7.61,0.3,0,0.053,0.7,0,0,0,0.217,0.233,0.028,106,0.019,0.05,11,0.008,126,10.6,0.49
Animal source,106,8.25,2.92,11.67,11,1,1,0.05,0.56,0,0,0,0.21,0.227,0.036,86,0.018,0.07,10,0.034,110,9.5,0.39
Animal source,85,8.12,0.14,12.72,11.4,0.5,0,0.047,0.66,0,0,0,0.187,0.26,0.033,89,0.017,0.04,10,0.009,112,8.2,0.4
Animal source,84,8.03,0.22,12.53,11.63,0.4,0,0.051,0.59,0.2,0,0,0.22,0.217,0.033,94,0.017,0.06,11,0.029,114,8.9,0.45
Animal source,80,8.03,0.12,11.62,10.86,0.7,0,0.05,0.45,0.3,0,0,0.213,0.28,0.031,99,0.019,0.12,10,0.033,112,9.5,0.44
Animal source,144,28.04,3.57,0,0,0,5,0.314,0.27,0,0.32,8,9.634,0.131,0.081,13,0.041,0.46,25,0,246,23.1,0.87
Animal source,213,18.33,14.83,0.13,0,0,232,0.34,1.11,2.6,0,30,6.639,0.186,0.061,11,0.064,1.31,20,0.029,149,11.8,1.48
Animal source,291,22.84,17.53,9.03,0,0,181,0.32,0.83,0.4,0,38,7.083,0.248,0.113,21,0.089,1.79,21,0.064,158,20.3,1.91
Animal source,272,28.57,15.27,3.27,0,0,248,0.42,1.11,0.5,0,32,8.93,0.278,0.088,17,0.1,1.99,25,0.047,194,16.6,2.36
Animal source,234,26.78,13.27,0.06,0,0,191,0.38,0.94,0.5,0.33,29,7.908,0.224,0.063,15,0.08,1.66,23,0.031,182,15.9,2.16
Animal source,216,24.49,12.37,0.06,0,0,174,0.22,0.79,0.5,0,27,5.389,0.201,0.048,14,0.071,1.53,19,0.029,144,15.9,1.98
Animal source,215,18.6,15.06,0,0,0,41,0.35,0.31,1.6,0.3,6,6.801,0.12,0.06,11,0.048,0.9,20,0.019,147,14.4,1.31
Animal source,289,22.54,17.35,9.42,0,0.3,28,0.31,0.28,0,1.24,25,7.043,0.189,0.115,21,0.072,1.37,21,0.057,155,25.5,1.67
Animal source,269,28.56,14.92,3.15,0,0.1,27,0.41,0.31,0,0.63,11,8.992,0.193,0.087,17,0.075,1.38,25,0.034,191,21.7,2.04
Animal source,239,27.3,13.6,0,0,0,48,0.4,0.3,0,0.27,5,8.487,0.168,0.063,15,0.066,1.26,23,0.02,182,23.9,1.94
Animal source,219,24.68,12.56,0,0,0,44,0.22,0.2,0,0.27,5,5.594,0.148,0.046,13,0.057,1.16,19,0.019,139,18,1.76
Animal source,119,21.39,3.08,0,0,0,16,0.43,0.37,2.3,0.21,7,8.239,0.142,0.073,12,0.053,0.89,25,0.019,173,15.7,1.54
Animal source,219,30.57,9.12,1.69,0,0.1,18,0.48,0.34,0,0.46,7,9.663,0.198,0.085,17,0.075,1.35,27,0.028,205,24.5,2.24
Animal source,190,28.93,7.41,0,0,0,16,0.47,0.33,0,0.27,6,9.173,0.178,0.069,15,0.067,1.21,25,0.019,195,22,2.1
Animal source,177,27.29,6.71,0,0,0,15,0.26,0.22,0,0.27,6,6.117,0.163,0.049,14,0.061,1.17,21,0.019,150,20.9,1.99
Animal source,349,13.33,32.35,0,0,0,76,0.09,0.23,0,0,3,3.987,0.069,0.033,11,0.041,1.08,13,0.019,100,12.3,0.93
Animal source,394,10.32,28.83,23.15,0,0,0,0.06,0.17,0,0,62,3.342,0.178,0.174,26,0.071,1.43,12,0.108,80,53.9,0.72
Animal source,502,19.09,42.58,9.34,0,0,70,0.1,0.18,0,0,53,5.818,0.165,0.097,14,0.079,1.52,17,0.06,126,62.9,1.15
Animal source,454,20.36,40.68,0,0,0,78,0.1,0.2,0,0.4,2,5.581,0.127,0.036,14,0.064,1.51,15,0.022,125,20,1.23
Animal source,363,15.22,33.04,0,0,0,0,0.05,0.11,0,0,2,3.756,0.094,0.034,12,0.046,1.13,13,0.018,99,14.4,0.96
Animal source,124,17.88,4.47,1.8,0,0,2657,0.42,11.41,16.2,0,345,6.662,0.987,0.088,10,0.243,5.86,18,0.149,197,55.2,3.32
Animal source,277,32.54,13.46,4.35,0,0,3582,0.61,13.31,8.7,0,379,10.987,1.524,0.097,18,0.422,10.32,25,0.222,286,104.2,6.27
Animal source,157,27.15,4.5,0,0,0,1753,0.397,9.44,12.5,0.46,257,6.625,1.052,0.143,14,0.331,7.04,14,0.199,289,59.6,4.23
Animal source,94,17.66,2.06,0,0,0,19,0.112,1.21,3.7,0.33,5,3.68,0.231,0.028,11,0.116,2.49,15,0.055,148,25.5,2.72
Animal source,154,30.39,2.68,0,0,0,0,0.071,1.04,0,0.2,5,3.12,0.21,0.026,17,0.161,3.19,3,0.074,189,41.1,4.42
Animal source,153,15.55,9.33,0.71,0,0,9,0.36,7.29,3.2,0,72,4.883,0.728,0.152,12,0.346,5.96,15,0.089,177,4.3,6.59
Animal source,185,26.41,7.92,0.1,0,0,8,0.32,7.29,1.8,0,80,2.803,0.741,0.07,19,0.502,9.03,20,0.107,199,8,7.3
Animal source,119,16.92,4.83,0.73,0,0,3296,0.853,16.58,17.9,0.7,588,9.728,1.778,0.305,8,0.492,8.99,19,0.255,297,54.6,2.67
Animal source,167,24.46,6.51,0.87,0,0,3981,0.755,16.85,27.9,0.82,578,11.045,1.993,0.291,11,0.496,11.63,25,0.359,405,82.4,3.98
Animal source,186,20.27,11.07,0,0,0,30,0.48,0.34,0,0.27,4,8.908,0.086,0.059,11,0.04,0.79,23,0.018,163,16.4,0.93
Animal source,277,23.55,15.44,9.5,0,0,24,0.39,0.28,0,0,23,9.156,0.147,0.113,20,0.061,1.26,22,0.055,168,27.2,1.06
Animal source,246,30.45,12.09,1.82,0,0.1,20,0.54,0.33,0,0.57,9,12.035,0.133,0.076,16,0.058,1.21,27,0.026,213,29.1,1.26
Animal source,222,29.02,10.85,0,0,0,33,0.52,0.32,0,0,3,11.134,0.118,0.06,15,0.053,1.14,25,0.018,200,24.1,1.23
Animal source,201,26.14,9.97,0,0,0,29,0.27,0.2,0,0,3,6.935,0.112,0.041,13,0.044,0.98,20,0.018,146,21.2,1.14
Animal source,237,16.69,18.34,0,0,0,49,0.25,0.29,0,0.3,7,5.211,0.146,0.061,11,0.054,0.98,19,0.019,136,12.7,1.58
Animal source,298,21.85,18.64,9.38,0,0,31,0.25,0.27,0,0,24,5.607,0.218,0.117,21,0.08,1.44,20,0.058,145,23.6,2.08
Animal source,285,27.22,16.91,4.08,0,0,31,0.32,0.3,0,0,13,6.842,0.235,0.095,17,0.088,1.5,24,0.039,176,20.5,2.6
Animal source,253,25.97,15.78,0,0,0,60,0.31,0.29,0,0,7,6.359,0.207,0.066,15,0.077,1.36,22,0.021,168,20.2,2.49
Animal source,233,23.5,14.66,0,0,0,56,0.17,0.2,0,0,6,4.513,0.177,0.05,14,0.068,1.31,18,0.019,133,18.4,2.26
Animal source,114,23.2,1.65,0,0,0,8,0.54,0.38,0,0.22,4,10.604,0.092,0.068,12,0.04,0.73,27,0.018,187,17.8,0.97
Animal source,192,32.82,5.54,0.42,0,0,9,0.63,0.36,0,0,4,13.365,0.126,0.073,16,0.054,1.14,29,0.02,231,26.2,1.27
Animal source,173,30.91,4.51,0,0,0,9,0.6,0.34,0,0.27,4,12.421,0.116,0.065,15,0.05,1.06,27,0.017,216,24.4,1.23
Animal source,159,28.88,3.99,0,0,0,8,0.33,0.23,0,0.27,3,7.79,0.117,0.042,13,0.044,0.93,22,0.018,159,22.3,1.19
Animal source,125,20.08,4.31,0,0,0,22,0.33,0.36,3.1,0.21,10,6.246,0.184,0.077,12,0.063,1.03,23,0.021,162,13.5,2
Animal source,239,28.99,11.62,2.59,0,0,24,0.37,0.33,0,0,9,7.07,0.249,0.093,18,0.089,1.49,25,0.033,187,20.5,2.91
Animal source,205,27.37,9.73,0,0,0,22,0.36,0.32,0,0.27,8,6.548,0.227,0.073,15,0.08,1.33,23,0.021,179,18,2.8
Animal source,192,25.97,8.98,0,0,0,21,0.21,0.22,0,0.27,7,4.737,0.202,0.055,14,0.075,1.36,20,0.02,143,17.3,2.66
Animal source,629,3.73,67.95,0,0,0,125,0.02,0.07,0,2.73,1,2.041,0.059,0.021,7,0.029,0.7,6,0.014,54,9.7,0.45
Animal source,319,14.05,28.74,0,0,0,75,0.19,0.25,1.6,0.37,6,4.835,0.116,0.051,13,0.047,0.94,15,0.018,113,12.1,1.26
Animal source,331,21.97,21.91,10.25,0,0,36,0.23,0.26,0,0,28,5.837,0.213,0.119,26,0.081,1.49,19,0.062,137,29,1.96
Animal source,331,27.79,20.74,6.5,0,0,37,0.3,0.28,0,0,20,7.297,0.236,0.107,24,0.091,1.62,23,0.05,166,23.7,2.47
Animal source,300,25.95,20.97,0,0,0,105,0.27,0.27,0,0.27,6,6.718,0.195,0.061,21,0.076,1.42,20,0.022,154,22.5,2.25
Animal source,258,22.18,18.14,0,0,0,88,0.15,0.18,0,0.27,5,4.343,0.151,0.043,18,0.063,1.22,16,0.02,120,19.9,1.93
Animal source,137,19.56,5.92,0,0,0,30,0.33,0.36,0,0.22,9,6.672,0.164,0.074,17,0.06,1.04,22,0.021,151,13.5,1.85
Animal source,288,29.99,15.32,5.68,0,0,29,0.35,0.31,0,0,9,7.68,0.253,0.109,26,0.095,1.65,25,0.047,176,19.9,2.8
Animal source,239,28.19,13.16,0,0,0,0,0.34,0.3,0,0,0,7.069,0.217,0.068,24,0.081,1.39,22,0.022,165,17.3,2.65
Animal source,209,25.31,11.19,0,0,0,27,0.2,0.21,0,0.27,7,4.556,0.173,0.047,21,0.071,1.27,17,0.02,130,16.5,2.38
Animal source,172,20.85,9.25,0,0,0,24,0.53,0.34,0,0.27,4,9.908,0.085,0.063,11,0.039,0.74,25,0.018,174,16.6,0.8
Animal source,260,24.84,13.2,8.99,0,0.3,20,0.43,0.3,0,1.06,21,10.523,0.146,0.115,20,0.06,1.25,24,0.054,185,28,0.95
Animal source,222,31.84,8.87,1.64,0,0.1,15,0.58,0.34,0,0,7,13.742,0.131,0.082,16,0.057,1.19,30,0.026,233,23.9,1.1
Animal source,197,29.8,7.78,0,0,0,28,0.56,0.32,0,0.27,4,12.71,0.119,0.066,14,0.05,1.07,27,0.018,214,24.7,1.02
Animal source,184,27.39,7.42,0,0,0,25,0.29,0.21,0,0.27,3,7.807,0.115,0.041,13,0.044,0.92,22,0.018,156,21.8,0.97
Animal source,120,22.5,2.62,0,0,0,7,0.811,0.21,0,0.56,9,9.6,0.177,0.094,5,0.037,0.37,28,0.011,213,22.8,0.68
Animal source,187,33.44,4.71,0.51,0,0,7,0.64,0.37,0,0.42,4,14.782,0.125,0.079,16,0.054,1.14,31,0.021,246,26.2,1.08
Animal source,165,31.02,3.57,0,0,0,6,0.6,0.34,0,0.27,4,13.712,0.114,0.07,15,0.049,1.04,29,0.017,228,27.6,1
Animal source,151,28.98,3.03,0,0,0,6,0.33,0.23,0,0.27,3,8.469,0.119,0.042,13,0.043,0.88,24,0.018,165,22.3,0.97
Animal source,161,18.08,9.2,0.11,0,0,14,0.345,0.53,0,0.19,3,4.841,0.195,0.083,8,0.062,0.71,18,0.014,163,20.2,1.86
Animal source,268,21.95,15.75,8.28,0,0.3,26,0.27,0.28,0,0,24,5.096,0.215,0.112,17,0.076,1.35,20,0.052,147,21.9,2.33
Animal source,245,26.96,13.72,1.63,0,0.1,25,0.35,0.32,0,0,11,6.037,0.225,0.081,12,0.08,1.34,23,0.028,176,18.4,2.89
Animal source,191,23.35,10.15,0,0,0,12,0.383,0.39,0,0.19,4,5.403,0.203,0.093,11,0.071,1.11,22,0.015,195,26.9,2.36
Animal source,204,25.32,10.64,0,0,0,27,0.19,0.22,0,0.27,7,4.204,0.19,0.05,11,0.071,1.33,20,0.019,141,17,2.65
Animal source,116,19.41,3.71,0,0,0,7,0.381,0.51,0,0.18,4,5.198,0.22,0.09,9,0.066,0.76,20,0.014,174,21.8,2.05
Animal source,195,28.62,8.08,0,0,0,18,0.39,0.35,0,0,9,6.146,0.236,0.077,12,0.08,1.32,24,0.021,186,19.6,3.22
Animal source,155,24.24,5.7,0,0,0,6,0.407,0.38,0,0.18,4,5.598,0.222,0.098,11,0.074,1.14,22,0.014,200,28.1,2.56
Animal source,169,27.5,5.71,0,0,0,17,0.23,0.24,0,0.27,8,4.3,0.213,0.054,11,0.077,1.37,21,0.019,150,18,3.02
Animal source,214,16.37,15.95,0.17,0,0,28,0.318,0.56,0.2,0.22,4,4.733,0.141,0.073,9,0.054,0.69,19,0.016,155,18,1.47
Animal source,273,21.77,16.17,8.72,0,0.3,27,0.27,0.28,0,0,24,5.433,0.221,0.116,18,0.08,1.4,20,0.054,152,26.6,2.17
Animal source,254,26.84,14.43,2.5,0,0.1,28,0.34,0.31,0,0,13,6.546,0.235,0.088,13,0.085,1.43,24,0.032,182,20.8,2.68
Animal source,184,24.03,8.99,0,0,0,20,0.413,0.38,0,0.19,5,6.034,0.187,0.09,12,0.061,1.09,23,0.02,202,25.7,2.07
Animal source,220,24.17,12.92,0,0,0,37,0.18,0.2,0,0.27,6,4.59,0.191,0.054,11,0.071,1.35,20,0.019,139,18.9,2.43
Animal source,120,19.16,4.22,0,0,0,10,0.406,0.57,0,0.18,4,5.578,0.179,0.087,10,0.06,0.78,23,0.017,180,21,1.76
Animal source,208,28.38,9.32,0.65,0,0,20,0.39,0.34,0,0,9,6.688,0.247,0.083,13,0.086,1.4,25,0.025,193,18.8,2.98
Animal source,174,24.22,7.8,0,0,0,7,0.425,0.39,0,0.16,5,6.053,0.189,0.091,12,0.061,1.08,24,0.019,205,25.2,2.11
Animal source,185,26.26,8.06,0,0,0,18,0.21,0.23,0,0.27,8,4.798,0.216,0.059,11,0.077,1.4,21,0.019,149,26.5,2.78
Animal source,297,14.07,26.24,0,0,0,65,0.17,0.26,0,0.3,5,3.608,0.191,0.047,18,0.08,1.9,13,0.033,112,12,1.86
Animal source,330,19.82,23.52,8.7,0,0,51,0.21,0.24,0,0,21,4.528,0.237,0.1,31,0.113,2.15,16,0.065,115,21.3,2.5
Animal source,332,24.01,23.61,4.24,0,0,57,0.25,0.26,0,0,15,5.348,0.259,0.078,31,0.13,2.42,19,0.052,132,18.6,3.07
Animal source,247,19.61,18.1,0,0,0,48,0.1,0.14,0,0.27,3,3.319,0.248,0.04,27,0.097,2.3,13,0.046,122,17.3,2.72
Animal source,154,17.55,8.78,0,0,0,44,0.29,0.32,0,0,8,4.119,0.228,0.054,27,0.109,2.06,17,0.035,113,13.5,2.68
Animal source,229,26.87,11.88,1.77,0,0,49,0.35,0.3,0,0,8,5.027,0.318,0.07,41,0.161,2.98,20,0.05,135,20.5,4.24
Animal source,179,24.56,8.18,0,0,0,0,0.16,0.17,0,0,6,3.956,0.283,0.046,44,0.129,2.63,16,0.048,128,20.5,3.77
Animal source,221,16.52,16.61,0.25,0,0,23,0.347,0.62,0,0.21,3,4.625,0.145,0.073,7,0.054,0.68,18,0.013,157,18.9,1.29
Animal source,277,21.61,16.53,9.08,0,0.3,29,0.26,0.28,0,0,26,5.715,0.227,0.119,18,0.082,1.45,21,0.057,155,23.2,2.04
Animal source,262,26.75,14.98,3.18,0,0.1,29,0.33,0.3,0,0,15,6.946,0.243,0.094,14,0.089,1.49,25,0.036,187,19.9,2.52
Animal source,232,23.26,14.71,0,0,0,16,0.414,0.44,0,0.19,4,5.789,0.19,0.088,9,0.063,1.08,22,0.017,216,25.3,1.73
Animal source,232,23.26,14.74,0,0,0,45,0.17,0.19,0,0.27,6,4.894,0.191,0.057,11,0.07,1.37,19,0.019,139,17.9,2.25
Animal source,121,19.66,4.12,0,0,0,7,0.451,0.61,0,0.18,4,5.557,0.196,0.088,7,0.062,0.81,23,0.013,185,22.9,1.58
Animal source,218,28.18,10.3,1.18,0,0,0,0.38,0.33,0,0,9,7.12,0.255,0.088,13,0.09,1.46,26,0.027,199,20.5,2.79
Animal source,179,24.76,8.15,0,0,0,8,0.462,0.42,0,0.18,5,6.208,0.218,0.096,9,0.067,1.13,24,0.016,230,27.1,1.92
Animal source,195,25,9.79,0,0,0,19,0.21,0.21,0,0.27,7,5.2,0.218,0.063,11,0.077,1.42,21,0.02,149,17.1,2.58
Animal source,191,17.52,13.16,0,0,0,9,0.528,0.25,0,0.64,7,5.697,0.103,0.054,11,0.034,0.46,16,0.011,123,17.6,1.21
Animal source,324,19.87,21.81,10.94,0,0.3,34,0.3,0.25,0,0,26,5.265,0.152,0.106,20,0.063,1.29,16,0.06,121,25.7,1.38
Animal source,321,26.11,22.16,2.39,0,0.1,38,0.41,0.28,0,0,8,6.697,0.137,0.058,15,0.061,1.25,19,0.028,150,21.3,1.76
Animal source,254,23.79,16.87,0,0,0,12,0.558,0.35,0,0.69,9,6.32,0.153,0.065,18,0.041,0.84,19,0.011,147,25.5,1.64
Animal source,249,22.78,16.82,0,0,0,40,0.22,0.18,0,0.27,3,4.621,0.103,0.04,12,0.046,1.13,16,0.018,121,18.5,1.63
Animal source,126,21.97,3.54,0,0,0,18,0.53,0.38,1.2,0.13,4,7.359,0.101,0.059,13,0.041,0.88,22,0.018,155,17.8,1.63
Animal source,211,30.15,9.15,0,0,0,0,0.59,0.34,0,0,4,7.239,0.128,0.046,15,0.053,1.14,21,0.016,164,25.4,2.12
Animal source,203,30.46,8.13,0,0,0,18,0.59,0.34,0,0.27,4,7.312,0.129,0.047,16,0.054,1.16,21,0.016,166,24.7,2.14
Animal source,181,27.18,7.18,0,0,0,16,0.32,0.22,0,0.27,3,5.2,0.11,0.044,13,0.047,1.12,18,0.017,134,21.7,2.02
Animal source,213,17.09,15.46,0.09,0,0,253,0.32,0.99,2.4,0,26,6.427,0.171,0.059,10,0.06,1.37,19,0.027,165,11.6,1.28
Animal source,220,23.96,13.07,0.05,0,0,179,0.34,0.78,0.4,0,23,7.031,0.189,0.057,13,0.071,1.61,20,0.027,179,15.7,1.71
Animal source,133,24.31,4.02,0,0,0,11,1.077,4.1,0,0.57,0,6.56,1.523,0.284,4,0.443,5.91,29,0.05,256,0,1.68
Animal source,223,23.97,13.39,0,0,0,0,0.35,0.27,0,0,5,7.418,0.143,0.057,12,0.058,1.26,20,0.018,179,23.6,1.45
Animal source,111,20.33,2.7,0,0,0,13,0.42,0.36,0,0.22,7,7.875,0.134,0.069,10,0.05,1.03,23,0.018,198,16.9,1.19
Animal source,167,25.01,6.63,0,0,0,12,0.41,0.29,0,0,5,7.881,0.147,0.062,12,0.057,1.21,21,0.017,192,24.6,1.52
Animal source,127,18.14,5.04,1.14,0,0,2880,0.36,9.4,13.1,0,276,6.208,0.818,0.08,10,0.218,5.4,17,0.13,184,54.1,3.39
Animal source,165,26.77,5.22,0.86,0,0,2443,0.3,8.45,6.5,0,303,4.032,0.808,0.074,12,0.236,6.09,20,0.147,213,100.1,4.63
